"collision_id","borough","crash_date","crash_time","vehicle_1","vehicle_2","vehicle_3","contributing_vehicle_1","contributing_vehicle_2","contributing_vehicle_3"
"4407837","MANHATTAN","2021-04-05","16:21:00","Station Wagon/Sport Utility Vehicle","Sedan","No additional car involved","Passing Too Closely","No additional car involved","No additional car involved"
"4407548","BROOKLYN","2021-04-14","10:40:00","Taxi","Sedan","Sedan","Failure to Yield Right-of-Way","Unsafe Speed","No additional car involved"
"4456635","BROOKLYN","2021-07-08","16:45:00","Sedan","Bike","No additional car involved","View Obstructed/Limited","View Obstructed/Limited","No additional car involved"
"4407842","BROOKLYN","2021-04-16","15:23:00","Sedan","Sedan","No additional car involved","Following Too Closely","No additional car involved","No additional car involved"
"4407673","BROOKLYN","2021-04-15","17:55:00","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","No additional car involved","Pavement Slippery","No additional car involved","No additional car involved"
"4407459","MANHATTAN","2021-04-14","12:30:00","Van","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4408367","BROOKLYN","2021-04-15","18:36:00","Sedan","Sedan","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407642","BROOKLYN","2021-04-15","20:00:00","Taxi","No additional car involved","No additional car involved","Pedestrian/Bicyclist/Other Pedestrian Error/Confusion","No additional car involved","No additional car involved"
"4408033","BROOKLYN","2021-04-15","19:39:00","nan","No additional car involved","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4408308","BROOKLYN","2021-04-14","21:00:00","Sedan","Station Wagon/Sport Utility Vehicle","No additional car involved","Following Too Closely","Turning Improperly","No additional car involved"
"4408119","BROOKLYN","2021-04-15","21:04:00","Taxi","No additional car involved","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4407816","BROOKLYN","2021-04-16","10:05:00","Pick-up Truck","Pick-up Truck","No additional car involved","Brakes Defective","No additional car involved","No additional car involved"
"4407543","QUEENS","2021-04-15","08:23:00","Sedan","Station Wagon/Sport Utility Vehicle","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407923","QUEENS","2021-04-16","08:41:00","Station Wagon/Sport Utility Vehicle","Sedan","Sedan","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407741","BROOKLYN","2021-04-14","00:00:00","Station Wagon/Sport Utility Vehicle","Sedan","No additional car involved","Traffic Control Disregarded","No additional car involved","No additional car involved"
"4407647","BROOKLYN","2021-04-14","15:05:00","Station Wagon/Sport Utility Vehicle","Bike","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4407604","MANHATTAN","2021-04-15","12:17:00","Sedan","Concrete Mixer","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407752","BRONX","2021-04-15","10:37:00","Sedan","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4408227","BROOKLYN","2021-04-14","11:30:00","Taxi","Sedan","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4408028","BROOKLYN","2021-04-15","12:38:00","Sedan","Sedan","Box Truck","Unsafe Lane Changing","No additional car involved","No additional car involved"
"4407445","QUEENS","2021-04-14","15:25:00","Sedan","Motorcycle","No additional car involved","Reaction to Uninvolved Vehicle","Following Too Closely","No additional car involved"
"4407327","BROOKLYN","2021-04-14","13:40:00","Sedan","Station Wagon/Sport Utility Vehicle","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4407928","QUEENS","2021-04-14","11:46:00","Bike","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407412","QUEENS","2021-04-14","23:30:00","Taxi","Sedan","No additional car involved","Reaction to Uninvolved Vehicle","No additional car involved","No additional car involved"
"4407660","BRONX","2021-04-14","23:46:00","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","No additional car involved","Unspecified","No additional car involved","No additional car involved"
